id,artist,lastfm_artist_bio
13,Alison Krauss,"Alison Krauss (born July 23, 1971) is an American bluegrass-country  singer, songwriter and fiddler. Signed to Rounder Records as a 14-year-old fiddler from Champaign, Illinois, she has become the most recognized face in contemporary bluegrass, a critically acclaimed artist who has brought modern sophistication to the genre while respecting its traditions. Songfacts reports that in 2011 Krauss recorded her first ever number one country album in her home country with Paper Airplane. Read more on Last.fm"
14,Allman Brothers Band,"The Allman Brothers Band, formed in 1969 in Macon, Georgia blended strains of Southern Rock music - Blues, R&B, Country, Jazz, and Gospel - into a flexible, jam-oriented style of Rock and Roll that reflected the emergence of the “New South” and set the style for Lynyrd Skynyrd, the Marshall Tucker Band, and countless other Southern rockers. Oddly - or eerily, some would say - the band’s unusual string of untimely deaths has been repeated in other Southern-rock bands. Read more on Last.fm"
15,Alphaville,"Alphaville is a German synthpop/new wave group which gained popularity in the 80s. The founding members were Marian Gold (real name Hartwig Schierbaum, born May 26, 1954 in Herford), Bernhard Lloyd (real name Bernhard Gößling, born June 6th, 1960 in Enger, Bielefeld) and Frank Mertens (real name Frank Sorgatz, born October 26, 1961 in Enger, Bielefeld). The band was at first named Forever Young. The band is best known for its two biggest hits, ""Big in Japan"" and ""Forever Young"", which was the theme for many high school proms in the 1980s. Read more on Last.fm"
16,America,"America is a rock band, most popular in the early and mid 1970s, that had many hits including the #1 hits ""A Horse With No Name"" and ""Sister Golden Hair."" Comprised of Gerry Beckley (September 12, 1952 - ), Dewey Bunnell (January 19,1952 - ), and Dan Peek (November 1, 1950 - July 24, 2011), they were seldom a favorite with critics, but were exceptionally successful commercially selling both singles and albums. Despite the presence of other heavyweight acts like James Taylor and Rod Stewart on their roster Read more on Last.fm"
17,Amy Grant,"Amy Lee Grant (born November 25, 1960 in Augusta, GA) is an American Christian and pop singer-songwriter and has done some television. She has also sold 30 million albums world wide during her career.

Grant made her debut in 1977 under the guidance of Myrrh Records, and became the first Christian recording act to have an album be certified platinum. Following her marriage to Gary Chapman in 1982 and a subsequent deal between her record company and A&M Records Read more on Last.fm"
18,Andrea Bocelli,"Andrea Bocelli (born in 1958 in Lajatico, Tuscany, Italy) is an Italian tenor, multi-instrumentalist and classical crossover artist. Born with poor eyesight, he became blind at the age of twelve following a football accident.

A disciple of Luciano Pavarotti and Zucchero Fornaciari, the blind, Tuscany-born, vocalist has emerged as one of the most exciting voices in contemporary opera. His participation in Pavarotti's 1992 hit, Miserere, and Fornaciari's 1993 world tour brought him international attention. Read more on Last.fm"
19,Andy Williams,"Howard Andrew Williams (born December 3, 1927 in Wall Lake, Iowa, died September 26, 2012), known as Andy Williams, was an American pop singer.

He first performed in a children's choir at his local Presbyterian church. Williams and his three older brothers Bob, Dick, and Don, formed a quartet, the Williams Brothers, in the late 1930s.  The brothers performed on radio in the Midwest, first at WHO in Des Moines, Iowa, and later at WLS in Chicago and WLW in Cincinnati. Read more on Last.fm"
20,Annie,"Annie is the stage name of the Norwegian pop artist Anne Lilia Berge Strand (born 21 November 1977 in Trondheim). She currently resides in Berlin. Her debut album, Anniemal, was released in 2004. The name originally was an idea of her late boyfriend Tore Kroknes, who produced her 1999 single ""Greatest Hit"". Annie worked with Timo Kaukolampi (ex-Op:l Bastards), as well as Richard X, who produced and co-write the single ""Chewing Gum"" and the Geri Halliwell diss ""Me Plus One"". Read more on Last.fm"
21,Ariana Grande,"Ariana Grande-Butera, better known professionally as simply Ariana Grande, is an American singer, songwriter and actress. She is a multi-platinum, Grammy Award-winning recording artist. Born in Boca Raton, Florida, Grande began her career in 2008 in the Broadway musical ""13"". She rose to prominence for her role as Cat Valentine in the Nickelodeon television series, Victorious (2010–2013) and in its spin-off, Sam & Cat (2013–2014). As she grew interested in pursuing a music career Read more on Last.fm"
22,Ariel Rivera,"Ariel Rivera is a Filipino singer and actor who rose to fame in the early 1990s and has since established himself as one of the most respected names in the Philippine entertainment industry. Born on September 1, 1966, Rivera initially gained recognition for his rich, soothing voice and romantic ballads, which made him a household name in the OPM (Original Pilipino Music) scene.

He released his debut album ""Ariel Rivera"" in 1991 featuring popular singles like ""Sana Kahit Minsan"" and ""Ayoko Na Sana"" which became a massive hit Read more on Last.fm"
23,Arlo Guthrie,"Arlo Guthrie (born 10th July 1947, Brooklyn, New York ) is an American folk singer who is the son of folk singer and composer Woody Guthrie and his wife Marjorie Mazia Guthrie, a one-time professional dancer with the Martha Graham Company and founder of The Committee to Combat Huntington's Disease. He graduated from the Stockbridge School of Massachusetts in 1965, and briefly attended Rocky Mountain College.

His most famous work is Alice's Restaurant Read more on Last.fm"
24,Arrogant Worms,"Canada's Secret Weapon #1.

The Arrogant Worms are a Canadian musical comedy trio that parodies many musical genres. They are well known for their humorous on-stage banter in addition to their music.

The Worms came together in 1991 to do a few spots on campus radio station CFRC in Kingston, Ontario, and quickly moved to doing spots on the CBC Radio One. Since 1992, the troupe has released 11 albums on their own label and one compilation album under Oglio Records. Read more on Last.fm"
25,Avril Lavigne,"Avril Ramona Lavigne (born September 27, 1984) is a Canadian singer and songwriter. At age 16, she signed a two-album recording contract with Arista Records. Her debut studio album, Let Go (2002), is the best-selling album of the 21st century by a Canadian artist. It yielded the singles ""Complicated"" and ""Sk8er Boi"", which emphasized a skate punk persona and earned her the title ""Pop Punk Queen"" from music publications. She is considered a key musician in the development of pop punk music since she paved the way for female-driven Read more on Last.fm"
26,Backstreet Boys,"Backstreet Boys (often abbreviated as BSB) is an American vocal group consisting of Nick Carter, Howie Dorough, AJ McLean, and cousins Brian Littrell and Kevin Richardson. Lou Pearlman formed the group in 1993 in Orlando, Florida. The group rose to fame with their international debut album, Backstreet Boys (1996). In the following year, they released their second international album Backstreet's Back (1997), along with their self-titled U.S. debut album, Backstreet Boys (1997), which continued the group's success worldwide. Read more on Last.fm"
27,Barbie,"Barbie as an artist name can refer to seven different artists:

1. Barbie (the doll) who has starred in many CG movies, the soundtracks of which are generally available separately and widely accepted as some of the best music ever composed.

2. Barbie was the 1985-1987 solo project of Alexander Bard, of Bodies Without Organs fame. Dressed up as a transvestite prostitute he shocked an entire nation on swedish state television and released an album and five singles. Read more on Last.fm"
28,Barbra Streisand,"Barbra Streisand (born Barbara Joan Streisand; April 24, 1942  Brooklyn, New York),  is an Academy Award-winning American singer, theater and film actress, composer, film producer, and director. She has won Oscars for Best Actress and Best Original Song as well as multiple Emmy Awards, Grammy Awards, Golden Globe Awards and an honorary Tony Award. She received the prestigious Kennedy Center Honor on December 7, 2008. She is the most successful female recording artist according to the Recording Industry Assoc. of America (RIAA). Read more on Last.fm"
29,Beach Boys,"Incorrect tag for The Beach Boys. Keep stats clean by fixing your ID3 tags, or leave auto-correction on. Don't cheat the artist of plays and listeners... Read more on Last.fm"
30,The Beatles,"The Beatles was an English rock band formed in Liverpool, Lancashire in 1960. With the line-up comprising John Lennon, Paul McCartney,  George Harrison, and Ringo Starr, they are regarded as the most popular and influential band of all time. The group was integral to the development of 1960s counterculture and popular music's recognition as an art form. Rooted in skiffle, beat and 1950s rock and roll, their sound incorporated elements of classical Read more on Last.fm"
31,Beautiful South,"The Beautiful South were an English pop group formed at the end of the 1980s by former members of Hull group The Housemartins - Paul Heaton and Dave Hemingway. The duo were initially joined by Sean Welch (bass), Dave Stead (drums) and Dave Rotheray (guitar), all of whom stayed with the group throughout their 19-year career. Later additions included female vocalist Briana Corrigan; she was replaced by Jacqui Abbott, who in turn was replaced by Alison Wheeler. Read more on Last.fm"
32,Beauty And The Beast,
33,Bee Gees,"The Bee Gees, originally made up of three brothers: Barry Gibb, Robin Gibb (died 2012), and Maurice Gibb (died 2003), have been successful for most of their 40-plus years of recording music. They had two distinct periods of exceptional success: as a pop act in the late 1960s and early 1970s, and as a foremost act of the disco music era in the late 1970s.

The Gibb brothers were born on the Isle of Man, UK to English parents in 1946 (Barry Alan Crompton Gibb Read more on Last.fm"
34,Bette Midler,"Bette Midler (December 1, 1945) is an American singer, actress, and comedian, also known to her fans and especially in gay culture, as The Divine Miss M. She was born in Honolulu, Hawaii, to Jewish parents from New Jersey, and raised there.  Midler relocated to New York City to pursue acting on stage, and in 1970 she began singing at the Continental Baths, a gay bathhouse in the city, where she became close to her piano accompanist, Barry Manilow, who produced her first major album, The Divine Miss M in 1973. Read more on Last.fm"
35,Bill Withers,"William Harrison Withers Jr. (July 4, 1938 – March 30, 2020) was an American singer and songwriter known for a series of influential hits during a career spanning 18 years. His best-known songs include ""Ain't No Sunshine"" (1971), ""Grandma's Hands"" (1971), ""Use Me"" (1972), ""Lean on Me"" (1972), ""Lovely Day"" (1977), and ""Just the Two of Us"" (1980), the latter recorded in collaboration with Grover Washington Jr. Withers won three Grammy Awards from nine nominations. Read more on Last.fm"
36,Billie Holiday,"Billie Holiday (Eleanora Fagan Gough, Philadelphia, PA, April 7, 1915 – New York City, NY, July 17, 1959) was an American jazz singer and songwriter.

Nicknamed Lady Day by her loyal friend and musical partner Lester Young, Holiday was a highly original influence on jazz and pop singing. Her vocal style, strongly inspired by jazz instrumentalists, pioneered a new way of manipulating phrasing and tempo. Above all, she was admired for her deeply personal and intimate approach to singing. Read more on Last.fm"
37,Billy Joel,"Billy Joel (born William Martin Joel on May 9, 1949 in Bronx, New York, USA) is an American pianist, singer-songwriter, and composer. Since releasing his first hit song, ""Piano Man,"" in 1973, Joel has become a multi-million-selling recording artist. Joel recorded many popular hit songs and albums from 1971 until he stopped recording pop/rock music in 1993. He is one of the very few rock (or even pop) artists to have Top 10 hits in the '70s, '80s, and '90s. Read more on Last.fm"
38,Bing Crosby,"Harry Lillis ""Bing"" Crosby Jr. (/ˈkrɒzbi/; May 3, 1903 – October 14, 1977) was an American singer, comedian and actor. The first multimedia star, Crosby was a leader in record sales, radio ratings, and motion picture grosses from 1931 to 1954. His early career coincided with recording innovations that allowed him to develop an intimate singing style that influenced many male singers who followed him, including Perry Como, Frank Sinatra, Dick Haymes, and Dean Martin. Read more on Last.fm"
39,Black Sabbath,"Black Sabbath was an English heavy metal band formed in Aston, Warwickshire in 1968 by guitarist Tony Iommi, drummer Bill Ward, bassist Geezer Butler and vocalist Ozzy Osbourne. They are often cited as pioneers of heavy metal music. The band helped define the genre with releases such as Black Sabbath (1970), Paranoid (1970) and Master of Reality (1971). The band had multiple line-up changes following Osbourne's departure in 1979 and Iommi is the only constant member throughout their history.  Read more on Last.fm"
40,Blur,"Blur is an English alternative rock band that formed in London in 1988, consisting of singer Damon Albarn, guitarist Graham Coxon, bassist Alex James, and drummer Dave Rowntree. The group has been referred to as one of the ""Big Four"" of the Britpop genre, alongside Pulp, Suede, and Oasis. Their debut album, Leisure (1991), incorporated the sounds of Madchester and Shoegaze. Following a stylistic change influenced by English guitar pop groups such as the Kinks Read more on Last.fm"
41,Bob Dylan,"Bob Dylan (born Robert Allen Zimmerman on May 24, 1941 in Duluth, Minnesota, United States)  is an American singer-songwriter. Often regarded as one of the greatest songwriters of all time, Dylan has been a major figure in popular culture during a career spanning more than 60 years.
Dylan started his musical odyssey in 1959 when he began playing in Dinkytown, Minneapolis while attending the University of Minnesota. Shortly after starting to play he changed his stage name to Bob Dylan Read more on Last.fm"
42,Bob Marley,"Bob Marley (February 6, 1945 – May 11, 1981), born Nesta Robert Marley which was later to be changed by passport officials to Robert Nesta Marley, was a Jamaican singer-songwriter, guitarist, and activist. He was the most widely known writer and performer of Reggae, and more specifically Roots Reggae.  He is famous for popularising the genre outside of Jamaica and the Caribbean. Much of his music dealt with the struggles of the spiritually wealthy rasta and/or spiritually powerful Jah Rastafari. Read more on Last.fm"
43,Bob Rivers,"Bob Rivers is probably the best-known rock and roll radio DJ in the greater Seattle area of the northwestern United States, as well as a prolific producer of parody songs that often are mistakenly attributed to ""Weird Al"" Yankovic

Bob Rivers is a well known American rock and roll radio on air personality in the Pacific Northwest as well as a prolific producer of parody songs, most famous for his Christmas song parodies.

Rivers' radio program, The Bob Rivers Show, is broadcast on Seattle rock station KZOK-FM. Read more on Last.fm"
44,Bob Seger,"Robert Clark Seger (/ˈsiːɡər/, born May 6, 1945) is an American singer-songwriter, guitarist and pianist. As a locally successful Detroit-area artist, he performed and recorded as Bob Seger and the Last Heard and Bob Seger System throughout the 1960s. By the early 1970s, he had dropped the 'System' from his recordings and continued to strive for broader success with various other bands. In 1973, he put together the Silver Bullet Band, with a group of Detroit-area musicians Read more on Last.fm"
45,Bon Jovi,"Bon Jovi is an American rock band formed in 1983 in Sayreville, New Jersey. It consists of singer Jon Bon Jovi, keyboardist David Bryan, drummer Tico Torres, guitarist Phil X, and bassist Hugh McDonald. Original bassist Alec John Such quit the band in 1994, and longtime guitarist and co-songwriter Richie Sambora left in 2013. The band has been credited with ""[bridging] the gap between heavy metal and pop with style and ease"".

In 1984 and 1985, Bon Read more on Last.fm"
46,Boney M.,"Boney M. was a German-Caribbean vocal group that specialized in disco and funk created by German record producer Frank Farian, who was the group's primary songwriter. Originally based in West Germany, the four original members of the group's official line-up were Liz Mitchell and Marcia Barrett from Jamaica, Maizie Williams from Montserrat, and Bobby Farrell from Aruba. The group was formed in 1976 and achieved popularity during the disco era of the late 1970s. Read more on Last.fm"
47,Bonnie Raitt,"Bonnie Raitt, (born November 8, 1949) is an American blues and R&B singer, songwriter, and guitarist who was born in Burbank, California, the daughter of Broadway musical star John Raitt.

Raitt began playing guitar at an early age, something not a lot of her high school girlfriends did. ""I had played a little at school and at camp,"" she later recalled in a July 2002 interview. ""My parents would drag me out to perform for my family, like all parents do, but it was a hobby—nothing more. Read more on Last.fm"
48,Bosson,"Bosson,  was born Staffan Olsson in Särö outside of Gothenburg, Sweden.  He has traveled the world, lived in other countries like Brazil, and he is a megastar in Russia and Asia.
 
Bosson began to sing along with the radio as a toddler and, at the age of six, he began singing in front of audiences.  His stage name of ""Bosson"" comes from the fact that his father's first name is Bo, and the singer is Bo's son.
 
Bosson's first band was called Elevate Read more on Last.fm"
49,Bread,"Bread was a 1970s rock and roll band from Los Angeles, California. They are a prime example of what later was labeled as ""soft rock.""

David Gates (guitar, keyboards, bass and vocals) and Jimmy Griffin (guitar and vocals) formed the group in 1968, adding Robb Royer (guitar, bass and vocals of Pleasure Faire) before signing to Elektra Records. Bread, the band's debut album as a trio, was a failure. The band became a quartet beginning with their second album, On The Waters, bringing in Mike Botts as permanent drummer. Read more on Last.fm"
50,Britney Spears,"Britney Jean Spears  (born December 2, 1981 in McComb, Mississippi) is an American singer, songwriter, dancer and writer. She is credited with influencing the revival of teen pop during the late 1990s and early 2000s, for which she is referred to as the ""Princess of Pop"". Regarded as a pop icon, Spears has sold nearly 150 million records worldwide, including over 70 million solely in the United States, making her one of the world's best-selling music artists. Read more on Last.fm"
51,Bruce Springsteen,"Bruce Frederick Joseph Springsteen (born September 23, 1949) is an American rock singer, songwriter, and guitarist. Nicknamed ""the Boss"", he has released 21 studio albums during a career spanning six decades, most of which feature his backing band, the E Street Band. Springsteen is a pioneer of heartland rock, a genre combining mainstream rock music with poetic and socially conscious lyrics that feature narratives primarily concerning working class American life. Read more on Last.fm"
52,Bruno Mars,"Peter Gene Hernandez (born October 8, 1985 in Honolulu, Hawaii, USA), known professionally as Bruno Mars, is an American singer, songwriter, record producer, musician, and dancer. He is known for his stage performances, retro showmanship, and for performing in a wide range of musical styles, including pop, R&B, funk, soul, reggae, disco, and rock. Mars is accompanied by his band, the Hooligans, who play a variety of instruments, such as electric guitar, bass, piano, keyboards, drums, and horns, and also serve as backup singers and dancers. Read more on Last.fm"
53,Bryan White,"Bryan White was born February 17, 1974 in Lawton, Oklahoma. In the mid 1990s, when Bryan was only in his early twenties, he quickly became one of country music's hottest young stars earning number one singles on the Billboard country chart with his songs ""Someone Else's Star"" and ""Rebecca Lynn"" from his debut album. ""I'm Not Supposed to Love You Anymore"" reached fourth, and then he had numbers with ""So Much For Pretending"" and ""Sittin' On Go"" from his second album. Read more on Last.fm"
54,Cake,"At least 3 bands have the name Cake:

1.) 90s alternative rock band
2.) Underground 70s pop/funk band
3.) 60s Girl pop band

1.) Best-known for their ubiquitous hit ""The Distance,"" Cake epitomized the postmodern, irony-drenched aesthetic of '90s geek rock. Their sound freely mixed and matched pastiches of widely varying genres -- white-boy funk, hip-hop, country, new wave pop, jazz, college rock, and guitar rock -- with a particular delight in the clashes that resulted. Read more on Last.fm"
55,Carly Simon,"Carly Simon (born Carly Elisabeth Simon on 25 June 1943: - New York City, USA) is an American singer, musician, songwriter, and children's author. She rose to fame in the 1970s with a string of hit records, and has since been the recipient of two Grammy Awards, an Academy Award, and a Golden Globe Award for her work. Throughout her career, she has amassed a total of 13 Top 40 Hits including ""You're So Vain"", ""Nobody Does It Better"" and ""Coming Around Again"". Read more on Last.fm"
56,Carol Banawa,"Carol Claire Aguilar Banawa (born March 4, 1981, in Pasay City, Philippines), better known in the Philippines as Carol Banawa, is a Filipina singer and actress. She was born in Pasay City to Albino and Cirila Banawa. She has two siblings, Alexander and Cherry. She was raised in Batangas. Self-confessed as an ""ugly-duckling"", Carol dreamt of having a musical career at a very young age. Having a thought that her dream would never come true, her family chose to believe in her drive for success. Read more on Last.fm"
57,Carpenters,"The Carpenters were an American vocal and instrumental duo consisting of siblings Karen Carpenter (1950–1983) and Richard Carpenter (born 1946). Known for their soft musical style, the group featured Karen’s contralto vocals and Richard’s harmonising, arranging, and composition work. Over a 14-year career, the Carpenters released 10 studio albums, multiple singles, and appeared in several television specials.

Originally from New Haven, Connecticut, the siblings moved to Downey, California, in 1963. Read more on Last.fm"
58,Cat Stevens,"Cat Stevens is the former stage name of Steven Demetre Georgiou (born in London on 21 July 1948). He is a British singer-songwriter, multi-instrumentalist, humanitarian and education philanthropist. In December 1977, Stevens converted to Islam and adopted the name Yusuf Islam the following year. He began releasing music as Yusuf in 2006.

Stevens' albums Tea for the Tillerman (1970) and Teaser and the Firecat (1971) were both certified triple platinum in the US by the RIAA. Read more on Last.fm"
59,Celine Dion,"Céline Marie Claudette Dion, (born March 30, 1968 in Charlemagne, Quebec) is a Canadian singer, songwriter, and actress. Born to a large, impoverished family, Dion emerged as a teenage star in the French-speaking world after her manager and future husband René Angélil mortgaged his home to finance her first record.  In 1990, she released the anglophone album Unison, establishing herself as a viable pop artist in North America and other English-speaking areas of the world. Read more on Last.fm"
60,Chaka Khan,"Yvette Marie Stevens (born March 23, 1953), better known as Chaka Khan, and frequently referred to as the ""Queen of Funk"", is a 10-time Grammy Award winning American singer-songwriter from Chicago, Illinois who gained fame in the 1970s as the frontwoman and focal point of the funk band Rufus.

In  1964, at the age of 11, Khan formed her first musical group, the Crystalettes. While still in high school, she joined the Afro-Arts Theater, a group which toured with Motown great Mary Wells; a few years later Read more on Last.fm"
61,Cheap Trick,"Cheap Trick are an American power pop/rock n roll band from Rockford, Illinois that's played for over four decades, and in 2016 was inducted into the Rock & Roll Hall of Fame. Having gained popularity in the late-70s centered within the Midwest and within Japan, the band members are Rick Nielsen (guitarist and main songwriter), Bun E. Carlos (born Brad Carlson) (drums), Robin Zander (vocals and guitars), and Tom Petersson (bass guitar). Though they Read more on Last.fm"
62,Cher,"Cher (born Cheryl Sarkisian; May 20, 1946) is an American singer, actress and television personality. Often referred to by the media as the ""Goddess of Pop"", she has been described as embodying female autonomy in a male-dominated industry. Cher is known for her distinctive contralto singing voice and for having worked in numerous areas of entertainment, as well as adopting a variety of styles and appearances throughout her six-decade-long career. Read more on Last.fm"
63,Chicago,"Chicago is a jazz rock/soft rock band formed in 1967 in Chicago, Illinois. The self-described ""rock and roll band with horns"" began as a politically charged, sometimes experimental, rock band and later moved to a predominantly softer sound, generating several hit ballads. They had a steady stream of hits throughout the 1970s and 1980s. Second only to The Beach Boys in Billboard singles and albums chart success among American bands, Chicago is one of the longest-running and most successful rock groups in history. Read more on Last.fm"
64,Children,"There have been a number of artists going by the name of Children

(1) A US thrash metal band founded 2007 in New York
(2) A new popular indie band from Berlin
(3) A 90's metallic hardcore band from France.
(4) A psychedelic rock band from Los Angeles, CA.
(5) A noise rock band from Berlin. Read more on Last.fm"
65,Chris Brown,"Christopher Maurice Brown (born May 5, 1989) is an American singer, songwriter, dancer, and actor. A pop and hip-hop-influenced R&B musician who works in a variety of genres, he has been called the ""King of R&B"" by some of his contemporaries. His lyrics often address emotional and hedonistic themes. His singing and dancing skills have often been compared favorably to those of Michael Jackson.

In late 2005, he released his first studio album, Chris Brown Read more on Last.fm"
66,Chris Rea,"Christopher Anton Rea (born 4 March 1951) is an English rock and blues singer and guitarist from Middlesbrough. A ""gravel-voiced guitar stalwart"" known for his slide guitar playing, Rea has recorded twenty five solo albums, two of which topped the UK Albums Chart. Described as ""rock's ultimate survivor"", given his recovery from several bouts of serious illness, Rea was ""a major European star by the time he finally cracked the UK Top 10"" with his single ""The Road to Hell (Part 2)"". Read more on Last.fm"
67,Christina Aguilera,"Christina María Aguilera (born December 18, 1980) is an American singer-songwriter, actress, and television personality. She is known for her four-octave vocal range, artistic reinventions, and the incorporation of various themes into her music. Aguilera has been recognized as a Disney Legend for her contributions to The Walt Disney Company.

After appearing on The All New Mickey Mouse Club (1993–1994), Aguilera recorded the song ""Reflection"" for the animated film ""Mulan"" (1998) and subsequently signed with RCA Records. Read more on Last.fm"
68,Christina Perri,"Christina Perri, born August 19, 1986 in Philadelphia, Pennsylvania, United States, is a singer-songwriter, guitarist, and pianist. She initially rose to fame with her 2010 debut single ""Jar of Hearts,"" which charted in the top 20 on the Billboard Hot 100 chart after being used in the popular television show, ""So You Think You Can Dance.""

Perri grew up in Bensalem, Pennsylvania (a suburb of Philadelphia) with her older brother, Nick Perri, who formerly played guitar with Shinedown, among other artists. Read more on Last.fm"
69,Christmas Songs,Read more on Last.fm
70,Christy Moore,"Christy Moore, a native of Co. Kildare, Ireland, found fame as a member of the legendary tradition folk band Planxty. Since then he has carved out his own career as a consummate solo performer. In the 1980s Christy teamed up with Donal Lunny to form the innovative Moving Hearts.

Christy Moore started in the music business in the mid-sixties, when his life as a bank clerk was interrupted by a bank strike, and he moved to England. There he became involved in the folk music scene at the time Read more on Last.fm"
71,Chuck Berry,"Charles Edward Anderson ""Chuck"" Berry (October 18, 1926 – March 18, 2017) was an American songwriter, guitarist, and singer. He is one of the pioneers of rock and roll music.

Chuck Berry remains an influential figure and one of the pioneers of rock and roll music who first began performing in 1953.  Cub Koda wrote, ""Of all the early breakthrough rock & roll artists, none is more important to the development of the music than Chuck Berry. He is its greatest songwriter Read more on Last.fm"
72,Cinderella,"Cinderella was an American rock band that was formed in Philadelphia in 1982 by vocalist Tom Keifer and bassist Eric Brittingham. In addition, the initial lineup of Cinderella featured Tony Destra on drums and Michael Schermick on guitar.

In 1985, Schermick and Destra left Cinderella to join Britny Fox (another Pennsylvania-based hard rock band). They were replaced by guitarist Jeff LaBar and drummer Jim Drnec. It was this lineup that recorded their first album, 'Night Songs' (although the drums were played by session drummer Jody Cortez). Read more on Last.fm"
