id,api_id,artist_name,artist_bio,followers
11,1946772,Al Lover,?,0
12,1376254,Genius Traducciones al Español,"¡Pincha aquí para ver cómo traducir canciones al español en Genius!Por favor, usa la etiqueta “Traducción Al Español” y no crees páginas que no vas a traducir, ya que serán eliminadas.Toma en cuenta lo siguiente:No traduzcas idiomas que no hablas fluidamente.No copies traducciones de otros sitios o uses algún tipo de traductor para las letras completas.¿Quieres saber qué significa esa canción que está en inglés, portugués o francés? ¡Entra y averigua el significado junto a buenas anotaciones en español!",277
13,547257,G.L.S.-United,?,0
14,180342,​gAZAh,?,5
15,375369,Abbacadabra,?,0
16,1892549,Element Jetson,"Element Jetson (real name Khallid Benson) and (a.k.a. just “Element”) is an American rapper, singer, songwriter, and producer from South Florida.He has collaborated with Anonymuz on “You Lose” and “HGH”, Spvde on “The Getaway”, and both of them on “Saints Infinite”. His first project was called, “Overdue”, his first-ever mixtape released on May 8th, 2011. His latest project that he dropped is “bruh”, on February 29th, 2020.",1
17,1521190,Abra (PHL),"Raymond Abracosa, better known as Abra, is a Filipino hip hop artist from Pasig City and occasional actor. He gained mainstream popularity with his song Gayuma. When the video reached more than 26 million views on YouTube, it was hailed as the highest number generated by any local artist. Before that, he is a well-known battle emcee in the FlipTop Battle League.",4
18,39126,Ace of Base,"Ace of Base Is a Swedish pop group who scored a string of international hits in the early-to-mid 1990s. They’re best known for their upbeat reggae-tinged dance-pop songs, including “The Sign”, which was the biggest hit of 1994, according to The Billboard US chart.The group’s core lineup consisted of producers Ulf “Buddha” Ekberg and Jonas “Joker” Berggren, along with singers Malin “Linn” Berggren and Jenny Berggren (the three Berggrens are siblings). In the early ’90s, their debut single “Wheel of Fortune” became a hit in Scandinavia, which led to the group connecting with producer Denniz Pop (who would later spawn the careers Backstreet Boys, Britney Spears, and Max Martin).After the group’s 1992 debut Happy Nation became an international hit (going on to sell 21 million copies), it was re-released in North America in 1993 as The Sign. Three singles from the album became top five pop hits in the US, including “All That She Wants” (#2), “Don’t Turn Around” (#4), and “The Sign” (#1 for six weeks). The Sign went on to sell over 10 million copies.The group’s 1995 album The Bridge sold 7 million copies worldwide, including 2 million in the US. The album’s most successful single was “Beautiful Life,” which topped the US Dance chart and reached #15 on the Hot 100.Following the formal departure of singer Linn in 2007, the band performed a series of concerts as a trio in Europe and Asia between 2007 and 2009. Jenny Berggren said in November 2009 that she would be taking an indefinite leave of absence from the band to focus on a solo career. In 2009, Jonas and Ulf recruited two new female vocalists, Clara Hagman and Julia Williamson, and released The Golden Ratio in September 2010.In 2012, it was confirmed that Clara Hagman and Julia Williamson had left the group. The group released the compilation Hidden Gems, featuring previously unreleased tracks and deep cuts. The band is currently on hiatus indefinitely, with the members publicly stating that a reunion is unlikely.",29
19,7184,KJ-52,"KJ-52, born Jonah Sorrentino, broke through at a time when rap and religion rarely mixed. He was a very prominent rapper in the early history of Christian Rap and Hip Hop. He holds the current Guinness World Record for the Longest Freestyle Rap. The meaning of his name is the following: “KJ” stands for the previous name he used “King J Mack.” “52 (which is five-two)” stands for“John 6:9:” Let me break it down plainFive loaves two fishes is what the boy gaveSo I took what I had and I just did the samePut it all in his hands and I just walked awayI said Lord it’s all yours you can have the whole thing.“ as he says in ""KJ Five Two.”As of November 2019, KJ-52 has retired from music. His last full-length album Victory Lap was released on January 10, 2020. He hinted that he might still make songs from time to time, but he has retired from the music business after a very successful 25-year career.",32
20,23863,Adam Sandler,"When his brother suggested he try stand-up at 17, Adam Sandler officially morphed from class clown to professional comedian whose career began on the MTV game show Remote Control and then Saturday Night Live in 1990. He became well-known for his comedic musical performances on the show like “Lunchlady Land”, “Red Hooded Sweatshirt”, “The Chanukah Song” and “The Thanksgiving Song”.His first comedy album, featuring a few of his songs previously performed on SNL, came out in 1993. It was certified Gold in less than two years, eventually reaching 2x Platinum sales and gave Sandler his first (of three) Grammy nominations.He was fired from SNL in 1995, but that same year his film Billy Madison was a big success, opening as the #1 movie its first weekend. Sandler has since had a very successful career in film, with hits like Happy Gilmore, The Waterboy, The Wedding Singer, Big Daddy and Mr. Deeds. He has also been derided for a number of films he has written and/or produced like Jack And Jill, Grown Ups, Joe Dirt and The Ridiculous 6.Since 2005, Sandler has mainly focused on his film career, with “Gay Robot Groove” being his last comedy song for ten years until “The Chanukah Song, Pt. 4” came out in 2015. In 2019, his Netflix special 100% Fresh featured a number of new songs.",21
21,2300,Adele,"In this digital and single-driven age, it’s very difficult for artists to sell albums. Yet, this British singer-songwriter has managed to sell over 50 million units on the back of her two latest albums alone.Known for her strong, unique vocal talents who also possesses a very down-to-earth persona, Adele Adkins, born on May 5, 1988, made her studio debut in 2008 with 19, which netted the artist two Grammy awards and earned her significant acclaim in the UK.In early 2011, Adele released her sophomore album, 21, written in the aftermath of a tumultuous relationship and nasty break-up. The album has sold 35 million copies worldwide and is the 21st album of all time to be certified Diamond in the U.S. (10 million copies sold), a milestone achieved in less than two years after its release. At the 2012 Grammys, Adele took home six trophies including Song, Record, and Album of the Year, making her only the second artist in Grammys history to win all four General Field categories. To this day, 21 is the most successful album on the Billboard 200 ever.Adele returned from a multi-year hiatus in 2015 after becoming a mother. She released her third studio album 25, which sold more than 3 million units in its first week in the US, an amount unprecedented in all time. Globally, it was the biggest album sales week ever recorded as well. The titanic record featured Adele moving thematically into a sense of closure in her relationships and past. Hailed by critics for being responsible for encouraging the public to purchase physical copies of records, 25 was certified Diamond in under a year in the US, and has sold 20 million copies worldwide. Again, at the 2017 Grammys, Adele took home a boatload of Grammys, including another Song of the Year, Record of the Year, and Album of the Year award.",2060
22,1203959,The Dip,"The Dip is an electrifying seven-piece soul band from Seattle, Washington. Featuring three members of Beat Connection, the band toes the line between crooning soul and hard-driving funk. Featuring crunchy lines from the Honeynut Horns, The Dip is a throwback groove that is sure to get you movin'.",5
23,136298,Young Dopey,"Young Dopey (Real Name Byron Castillo Jr.) is a passionate entrepreneur, rapper, song writer and chief executive of his own independent label (The 6th BLK Records) Born and raised in Inglewood California he expresses his life experience through music.",4
24,533,Aerosmith,"Aerosmith is an American rock band, sometimes referred to as “The Bad Boys from Boston” and “America’s Greatest Rock and Roll Band.” Formed in 1970, its founding members are Steven Tyler (vocals, keyboards, harmonica), Tom Hamilton (bass), Joey Kramer (drums), Joe Perry (guitar, vocals) and Brad Whitford (guitar).The band released their eponymous debut studio album in 1973 featuring the single “Dream On,” which remains one of their most popular songs. Their next four albums made them rock stars across the US and Canada, spawning the hits “Sweet Emotion”, “Last Child”, “Walk This Way”, “Back In The Saddle”, “Draw The Line”, and a cover of “Come Together” for the Sgt. Pepper’s Lonely Hearts Club Band Soundtrack.Before the release of their fifth album Draw The Line, the band’s substance abuse began to destroy them. Perry quit after a backstage fight with Tyler in 1979, and Whitfield left two years later. Despite moderate sales, the band’s fifth, sixth and seventh albums were considered flops when compared to the band’s past accomplishments. When Perry and Whitford returned in 1984, their eighth album Done With Mirrors was also deemed unsuccessful despite strong reviews. Doug Herzog (MTV, VH1) recalled:Aerosmith was done at that point. Their last couple of records had been huge bombs. They had fallen into major drug problems. They were a little bit of a joke.In 1986, Tyler & Perry were recruited for a collaboration with rap group Run DMC for a groundbreaking hip-hop-meets-rock reworking of “Walk This Way” – an idea of Run DMC’s label head/producer Rick Rubin. The song was a surprise international smash hit, reaching the top 10 in eight countries. This, combined with the band going clean & sober, and allowing help from outside songwriters, led to what’s been called ‘one of the most impressive career comebacks in rock history’ with their ninth album Permanent Vacation. The album spawned three top 20 US hits that also had a moderate impact overseas.Aerosmith’s next three albums Pump, Get A Grip and Nine Lives would rack up nine more top 40 US hits. And their 1998 Diane Warren-penned chart-topper “I Don’t Want To Miss A Thing” for the film Armageddon would propel the band even further into worldwide stardom, reaching the top 5 in eight countries.The band has sold over 150 million albums, won four Grammys and was inducted into the Rock & Roll Hall Of Fame. Aerosmith’s albums in the 2000s have all reached the top 5 in the US, with their thirteenth Just Push Play giving the band its last US top 10 hit “Jaded” in 2001.",289
25,362269,Gay Dad,?,0
26,117146,King of the Dot,"King of the Dot Entertainment, also known as KOTD, is a rap battle league founded in Toronto, Canada in 2008. The company’s HQ is based in Toronto, Ontario, from which it gets its name. Successful music artists such as 360 and Madchild have battled in King of the Dot.King of the Dot is hosted by its founder, Organik. Past co-hosts have included various hip hop artists, including Drake, Raekwon, Method Man, Sticky Fingaz, Spider Loc, DJ Skee, Reef the Lost Cauze, Slaine, Sabac Red, Sid Wilson and Jus Allah.The league began in August 2008 in an alleyway near Toronto Eaton Centre, and now features over 150 emcees, battling in Toronto, California, Calgary and Vancouver. In 2015, King Of The Dot expanded its reach to Massachusetts, USA.Primarily featuring Canadians and Americans, emcees from countries such as England, Scotland, Australia, Sweden, Norway, Philippines and South Africa have all battled in KOTD’s annual World Domination event. The influence of King of the Dot has spread globally, inspiring the creation of other battles leagues such as Flip Top in the Philippines.King of the Dot has three leagues — PY Battles (Try-Outs); GZ Battles (North American stand alone smaller league); and KOTD (worldwide big league).",68
27,332410,Air Supply,"Air Supply are a soft rock duo formed in 1975. From 1980-1985 the band had a string of hits that charted well in the US, Canada, New Zealand and their homeland Australia.After Graham Russell’s music was ignored by bandmates in two previous bands, he auditioned for and won a part as a chorus member in a Melbourne production of Jesus Christ Superstar. This is where he met and teamed up with Russell Hitchcock, who had missed the JCS auditions in Sydney – so he flew to Melbourne and landed a spot in the same chorus.The two submitted a demo of two songs – “Love And Other Bruises” and “If You Knew Me” to CBS Records and got signed. The former went to #3 in Australia, so they assembled session musicians, released their self-titled debut album, and toured Australia.Air Supply’s sophomore album was released eight months later, reaching #32 in Australia despite having no charting singles. The band then toured Australia and the US with Rod Stewart. While in the US, they re-recorded a handful of their singles and released it as Love And Other Bruises – a compilation specifically made for American audiences. Despite these efforts, Air Supply still couldn’t break onto the US pop chart.The first single of their fourth album Life Support “Lost In Love” hit #13 in Australia and #3 in New Zealand in 1980. However, the band was still broke until Arista Records owner Clive Davis opted to release “Lost In Love” in North America, where it became a top five hit in both the US and Canada.Over the next five years, Air Supply scored eleven internationally successful singles including “All Out of Love”, “Every Woman in the World”, “The One That You Love”, “Here I Am”, “Even the Nights Are Better” and “Making Love Out of Nothing at All”. Eight of them reached the top 5 in the US. 1985’s “Just As I Am” would be their last big hit in North America, signifying the end of their peak era.In 1986, “Lonely Is the Night” from their album Hearts in Motion only charted in the US, reaching a modest #76, then their 1987 holiday album found no chart success, so Air Supply went on hiatus. Russell Hitchcock released a solo album in 1988 and the single “Caught In Your Web” in 1990.Air Supply reunited and released seven more albums between 1991 and 2010 that achieved little chart success internationally between them and their ten singles. During this time, the duo also released their first live DVD It Was 30 Years Ago Today and a compilation of their hits re-recorded acoustically titled The Singer And The Song. In 2013, they were inducted into the Australian ARIA Hall of Fame. In 2015 the duo released the single “I Adore You”.",32
28,135155,Daniel Johns,?,3
29,19507,George Orwell,"George Orwell, born Eric Arthur Blair, was a notable English author responsible for both Animal Farm and 1984. Both stories are notable for their portrayal of the Soviet Union, with 1984 having arguably become the quintessential dystopian story.",40
30,18609,Topaz Jones,"George David Brandon Jones, better known as Topaz Jones, is a 23-year-old rapper, singer, songwriter, and producer from Montclair, New Jersey.In 2014 he released his free debut album, The Honeymoon Suite and he released his sophomore album, Arcade, in 2016.",33
31,226612,Doctor Who,"Doctor Who is a British science-fiction television programme produced by the BBC from 1963 to the present day. The programme depicts the adventures of the Doctor, a Time Lord— a space- and time-travelling humanoid alien.He explores the universe in his TARDIS, a sentient time-travelling space ship. Its exterior appears as a blue British police box, which was a common sight in Britain in 1963 when the series first aired.Accompanied by companions, the Doctor combats a variety of foes, while working to save civilisations and help people in need.The show is a significant part of British popular culture, and elsewhere it has become a cult television favourite. The programme originally ran from 1963 to 1989. There was an unsuccessful attempt to revive regular production in 1996 with a backdoor pilot, in the form of a television film. The programme was relaunched in 2005 by Russell T Davies, who was showrunner and head writer for the first five years of its revival, produced in-house by BBC Wales in Cardiff.The current incarnation of the Doctor is Peter Capaldi, who is the 12th Doctor. His companion is Bill Potts, portrayed by Pearl Mackie. The 13th Doctor, played by Jodie Whitaker, is set to take over in Series 11.",12
32,43954,How I Met Your Mother,CBS' smash TV show.,7
33,653042,IDRYS,"Idriys Asher Jones (b. April 21, 1999), better known simply as IDRYS, is a young R&B/Hip-Hop North Carolina native. Now living in LA, he resides amongst the upcoming wave of trap influenced R&B.",10
34,371425,Ice Seguerra,"Cariza “Aiza” Yamson Seguerra (born September 17, 1983) is a Filipino actor, singer-songwriter and guitarist. After participating on Eat Bulaga!’s Little Miss Philippines 1987 he became a child star starring in several movies and TV shows. Later in his teens, he pursued a career in music spawning his major hit single, Pagdating ng Panahon (When the Time Comes). Initially coming out as a lesbian in 2007, Seguerra now identifies himself as a transgender man.",2
35,63404,Alabama,"Alabama started out as Wildcountry in 1969 before changing their name in 1977.Alabama is the most successful music group in the history of country music, with 75 million records sold and almost 40 number one hits.The group is comprised of a core group of cousins–Randy Owen (vocals, guitar), Teddy Gentry (vocals, bass), and Jeff Cook (guitar, fiddle)–from Fort Payne, Alabama. Their commercial peak came in the 80s, a decade that saw them release 21 number one singles and seven number one albums.Past members include Mark Herndon, Jackie Owen, Rick Scott, and Bennett Vartanian.Alabama is known for more songs than can be counted on all ten fingers and toes, but two of them are “Mountain Music”, and “Dixieland Delight”.",21
36,1388349,CoaastGxd,CoaastGxd the Sad DevilWe the Hopeless#hopelessgang #trashgang,14
37,383971,Brian Connolly,?,0
38,22497,The Simpsons,"The Simpsons is quite possibly the most successful television series in history, and one of the very few that have managed to combine a dizzying level of commercial success with an equally high degree of critical acclaim. The show has attracted superlatives throughout its run: as noted by wikipedia,it is the longest-running American sitcom, the longest-running American animated program, and […] the longest-running American primetime, scripted television series.But these are mere statistics when set next to the quality of its writers, animators, and voice actors. The Simpsons has shown itself to be a breeding ground for the some of the most talented people working in screen: its past roster features Conan O'Brien, John Swartzwelder, Brad Bird, George Meyer, Harry Shearer, Dan Castellaneta, and many many more. Its list of guest stars, meanwhile, is even more forbidding.The show itself evolves around a yellow, middle-class American family who live in the apparently stateless town of Springfield. The Simpsons upholds this venerated sitcom setup while parodying it at the same time, by means of elegantly complex visual, referential, linguistic, and character-based humor.Worthy extra resources on The Simpsons can be found all over, but highlights include: Chris Turner’s book Planet Simpson, a dedicated wiki, a site discussing the concept of “Zombie Simpsons”, the current iteration of the old alt.tv.simpsons site, a bunch of podcasts, and a roundtable discussion between Conan O'Brien and four other writers from the glorious early days:https://www.youtube.com/watch?v=DtJ28qOEG1gThe 29th season) began airing in September 2016.",103
39,68094,The Alan Parsons Project,"While Homer Simpson believed the Alan Parsons Project to be “some kind of hovercraft”, in fact its name is self-explanatory: Alan Parsons has been a mighty force in the progressive rock world, who produced the Beatles' Abbey Road and Pink Floyd’s Dark Side of the Moon, but also has his own recording project, which has produced its own hits over the years.The one other solid fixture in this recording act is Eric Woolfson, a session musician and record producer with his own respectable resume.https://www.youtube.com/watch?v=YXKmsvRXE4A",55
40,185600,Screen Genius,"Screen Genius is the TV and movie tag of Genius.com. It was founded on the belief that TV shows and movies are more than mindless entertainment; they deserve analysis and have academic merit. Screen Genius houses all types of content, including Breaking Bad scripts, scenes from The Dark Knight, all of Tarantino’s allusions, and a list of Jim’s pranks from The Office. It is currently run by Heisenferg.",73
41,158327,Howard Ashman,Howard Elliott Ashman was an American playwright and lyricist. Ashman first studied at Boston University and Goddard College and then went on to achieve his master’s degree from Indiana University in 1974.,13
42,59661,Pitchfork,?,2
43,484291,Temple of sound,?,0
44,3200893,Fightmarker’s Rap Battles,Okay everyone is downvoting my bio for Fightmarker so I’m gonna do an actual thingFightmarker is a rap battle artist/writer for Youtube rap battle’s. Unlike most Rap Battles which are low quality and very eh? To put it that way? He’s lyrics are super high quality and reference’s to the media he is making a Rap Battle Parody of.,7
45,348815,Aled Jones,?,0
46,4060644,Alice Cooper (Band),"Before he was a horror rock legend, Alice Cooper was an early glam and shock rock band, hailing from Phoenix, Arizona. While not as successful as their solo counterpart, the original band was a hit in their own right, scoring multiple top 10 hits like “School’s Out”. Though the shared name can make credits complicated, any Alice Cooper material released before 1975’s Welcome to My Nightmare was released by the band and should be credited as such, alongside 2025’s The Revenge of Alice Cooper and any future band-specific material.They started their musical career in 1964 as the Earwigs, which soon changed to Spiders, with a line up of Alice Cooper (known as Vincent Furnier at the time), Glen Buxton, Dennis Dunaway, John Tatum and John Speer, all cross country teammates from the same high school. They were comedy garage rock act that riffed on The Beatles songs for a local talent show. Their positive reception, despite the fact that half the band was only pretending to play their instruments, led to the band touring and releasing a few songs under that name.The next few years saw the band taking trips to Los Angeles to do shows, where they changed their name to Nazz and then to Alice Cooper, when it came to their attention that Nazz was already being used by a band fronted by Todd Rundgren. It’s practically rock legend that the band got their name from a Ouija board, so legendary in fact, that Alice himself didn’t know it had happened. Instead, according to him, the name was suggested by him, not a ghost, as something that “sounded like we were somebody’s aunt”. Spiders/Nazz never officially dissolved, but the groups is largely treated as a separate band from Alice Cooper, who’s founding lineup consisted of original founders Cooper, Dunaway, Buxton, and two later members of Spider, Neal Smith and Michael Bruce.The band got incredibly lucky early in their career when they were signed by Frank Zappa, before they had released any music under the new name, for a three album deal. They struggled picking up steam for their first two albums. Most of their notoriety at that time didn’t come from their music, but instead a 1969 incident at a concert where Alice threw a live chicken into the audience, who proceeded to mortally injure it. This slow start sent the band to Michigan, the home of other proto-punk bands like The Stooges and MC5 and originally Alice himself, where they had a much better reception. It was around this time that the band made their first top 40 hit, “I’m Eighteen” which, along with a look that was inspired by their all-female label mates the The GTOs, catapulted them into early glam rock stardom. The follow-up third album, 1971’s Love It To Death, saw the band continuing their dark lyrical content, but leaving behind much of their psychedelic roots for a more commercially viable, guitar-driven hard rock sound.They followed up this success with four more albums including the #1 hit, 1973’s Billion Dollar Babies, considered by some to be their best album ever. During their three year heyday, they became known for their elaborate and bizarre stage shows which took inspiration from everything from gothic horror to a Florida concert where a woman turned up backstage with a live snake around her arm.Success could only last so long, as they played last concert with their classic lineup in 1974. Their breakup was made public the next year. The reason for this is unclear, as members have given differing answers over the years. The breakup gave way to Alice’s solo career and the short-lived Billion Dollar Babies, formed by Michael, Dennis, and Neal. Members would perform together and have one off reunions over the years, never including Alice himself until a 1999 concert held in honor of their late bandmate, Glen Buxton, who had passed two years before.In 2015, it was announced that living members of Alice Cooper had reunited and were working on a studio album. The project never panned out and only amounted to bonus tracks on the Alice’s 2017 solo effort, Paranormal. All hope for another Alice Cooper album seemed lost until 2021, when Detroit Stories, another solo album, was released and it was revealed that two tracks (“Social Debris” and “I Hate You”) were functionally full band reunions. That same year, Alice and the band’s longtime producer Bob Ezrin would go on record saying a new album was entirely possible. The project would finally materialize in 2025 as The Revenge of Alice Cooper, their first studio album in 52 years.",3
